route_id,near_side_count,far_side_count,total_signalized,near_side_fraction,mid_block_count,mean_otp
60,9,8,17,0.5294117647058824,58,0.7833819277108435
61C,58,13,71,0.8169014084507042,58,0.5677506024096386
59,13,4,17,0.7647058823529411,157,0.689755421686747
64,22,2,24,0.9166666666666666,23,0.680559756097561
93,9,7,16,0.5625,53,0.6605530120481927
12,17,16,33,0.5151515151515151,57,0.654610843373494
14,19,8,27,0.7037037037037037,107,0.7563674698795181
77,39,6,45,0.8666666666666667,147,0.5577253012048192
61D,4,0,4,1.0,4,0.6678686746987952
36,17,6,23,0.7391304347826086,48,0.7328187500000001
71,2,1,3,0.6666666666666666,31,0.7087638554216867
87,10,3,13,0.7692307692307693,49,0.6755170731707317
18,7,1,8,0.875,13,0.8840963855421686
79,8,4,12,0.6666666666666666,91,0.709910975609756
51,48,5,53,0.9056603773584906,86,0.7006710843373495
74,27,3,30,0.9,110,0.6572341463414634
Y46,28,5,33,0.8484848484848485,73,
86,44,2,46,0.9565217391304348,46,0.628733734939759
71A,43,7,50,0.86,22,0.6446518072289156
91,47,6,53,0.8867924528301887,80,0.6465373493975903
69,12,6,18,0.6666666666666666,67,0.6026573170731707
83,6,1,7,0.8571428571428571,49,0.6541397590361445
17,3,1,4,0.75,56,0.6683573170731708
P78,7,1,8,0.875,82,0.5961602409638553
61B,17,1,18,0.9444444444444444,45,0.5842313253012048
SLVR,3,0,3,1.0,36,0.84659375
13,7,3,10,0.7,80,0.712666265060241
53,13,1,14,0.9285714285714286,50,0.71645
58,3,0,3,1.0,32,0.6076132530120482
RED,3,3,6,0.5,53,0.827620987654321
57,22,7,29,0.7586206896551724,41,0.661587951807229
71D,34,3,37,0.918918918918919,37,0.6559621951219512
O12,18,4,22,0.8181818181818182,2,0.6471686746987952
20,5,1,6,0.8333333333333334,50,0.698530487804878
71B,24,4,28,0.8571428571428571,28,0.5879493975903615
2,10,1,11,0.9090909090909091,117,0.6322256097560975
24,7,2,9,0.7777777777777778,78,0.6971098765432099
26,4,0,4,1.0,44,0.80436125
8,15,5,20,0.75,91,0.7659469879518073
61A,16,2,18,0.8888888888888888,92,0.5899975903614457
Y47,7,2,9,0.7777777777777778,41,
55,13,1,14,0.9285714285714286,125,0.7121536585365854
81,9,0,9,1.0,50,0.6691469879518073
88,16,0,16,1.0,10,0.6430156626506024
P3,3,1,4,0.75,,0.8470578313253012
G31,2,4,6,0.3333333333333333,8,0.7341548780487804
40,5,2,7,0.7142857142857143,58,0.7615112500000001
65,4,2,6,0.6666666666666666,9,0.6150641975308642
75,23,2,25,0.92,62,0.6881614457831325
O5,7,1,8,0.875,104,0.6921698795180723
P76,13,1,14,0.9285714285714286,31,0.6996135802469136
28X,10,2,12,0.8333333333333334,20,0.6166469879518072
16,34,4,38,0.8947368421052632,57,0.7138240963855421
P10,21,2,23,0.9130434782608695,63,0.6431036144578314
67,22,11,33,0.6666666666666666,88,0.6035817073170732
38,26,7,33,0.7878787878787878,63,0.713946913580247
71C,22,2,24,0.9166666666666666,27,0.6080518072289156
P68,19,3,22,0.8636363636363636,109,0.6795807228915662
21,31,6,37,0.8378378378378378,73,0.7360734939759036
P1,2,2,4,0.5,17,0.8454204819277108
27,6,0,6,1.0,92,0.7843629629629629
15,3,1,4,0.75,21,0.6856385542168675
56,21,8,29,0.7241379310344828,72,0.6623096385542169
53L,4,0,4,1.0,10,0.6500780487804878
1,35,10,45,0.7777777777777778,92,0.6164829268292683
P12,9,3,12,0.75,14,0.6679280487804878
31,27,8,35,0.7714285714285715,81,0.6748740740740741
82,39,4,43,0.9069767441860465,66,0.6079463414634146
54,14,5,19,0.7368421052631579,68,0.6672096385542169
48,18,0,18,1.0,42,0.7499313253012049
6,5,0,5,1.0,64,0.7247855421686747
29,15,1,16,0.9375,49,0.6510407407407407
41,31,9,40,0.775,80,0.76378875
89,7,1,8,0.875,26,0.722351219512195
P16,3,2,5,0.6,76,0.6379180722891566
39,9,0,9,1.0,43,0.789404938271605
